property	url	status	title
background-repeat	http://www.w3.org/TR/2011/REC-CSS2-20110607/colors.html#propdef-background-repeat	REC	CSS 2.1
background-repeat	http://www.w3.org/TR/2014/CR-css3-background-20140909/#background-repeat	CR	CSS Backgrounds and Borders Module Level 3
background-size	http://dev.w3.org/csswg/css3-background/#background-size	ED	CSS Backgrounds and Borders Module Level 3
background-size	http://www.w3.org/TR/2014/CR-css3-background-20140909/#background-size	CR	CSS Backgrounds and Borders Module Level 3
baseline-shift	http://dev.w3.org/csswg/css-inline/#propdef-baseline-shift	ED	CSS Inline Layout Module Level 3
baseline-shift	http://www.w3.org/TR/2015/WD-css-inline-3-20150917/#propdef-baseline-shift	WD	CSS Inline Layout Module Level 3
bookmark-label	http://www.w3.org/TR/2014/WD-css-gcpm-3-20140513/#propdef-bookmark-label	WD	CSS Generated Content for Paged Media Module
bookmark-level	http://www.w3.org/TR/2014/WD-css-gcpm-3-20140513/#propdef-bookmark-level	WD	CSS Generated Content for Paged Media Module
bookmark-state	http://www.w3.org/TR/2014/WD-css-gcpm-3-20140513/#propdef-bookmark-state	WD	CSS Generated Content for Paged Media Module
border	http://dev.w3.org/csswg/css3-background/#border	ED	CSS Backgrounds and Borders Module Level 3
border	http://www.w3.org/TR/2011/REC-CSS2-20110607/box.html#propdef-border	REC	CSS 2.1
border	http://www.w3.org/TR/2014/CR-css3-background-20140909/#border	CR	CSS Backgrounds and Borders Module Level 3
border-bottom	http://dev.w3.org/csswg/css3-background/#border-bottom	ED	CSS Backgrounds and Borders Module Level 3
border-bottom	http://www.w3.org/TR/2011/REC-CSS2-20110607/box.html#propdef-border-bottom	REC	CSS 2.1
border-bottom	http://www.w3.org/TR/2014/CR-css3-background-20140909/#border-bottom	CR	CSS Backgrounds and Borders Module Level 3
border-bottom-color	http://dev.w3.org/csswg/css3-background/#border-bottom-color	ED	CSS Backgrounds and Borders Module Level 3
border-bottom-color	http://www.w3.org/TR/2011/REC-CSS2-20110607/box.html#propdef-border-bottom-color	REC	CSS 2.1
border-bottom-color	http://www.w3.org/TR/2014/CR-css3-background-20140909/#border-bottom-color	CR	CSS Backgrounds and Borders Module Level 3
border-bottom-left-radius	http://dev.w3.org/csswg/css3-background/#border-bottom-left-radius	ED	CSS Backgrounds and Borders Module Level 3
border-bottom-left-radius	http://www.w3.org/TR/2014/CR-css3-background-20140909/#border-bottom-left-radius	CR	CSS Backgrounds and Borders Module Level 3
border-bottom-right-radius	http://dev.w3.org/csswg/css3-background/#border-bottom-right-radius	ED	CSS Backgrounds and Borders Module Level 3
border-bottom-right-radius	http://www.w3.org/TR/2014/CR-css3-background-20140909/#border-bottom-right-radius	CR	CSS Backgrounds and Borders Module Level 3
border-bottom-style	http://dev.w3.org/csswg/css3-background/#border-bottom-style	ED	CSS Backgrounds and Borders Module Level 3
border-bottom-style	http://www.w3.org/TR/2011/REC-CSS2-20110607/box.html#propdef-border-bottom-style	REC	CSS 2.1
border-bottom-style	http://www.w3.org/TR/2014/CR-css3-background-20140909/#border-bottom-style	CR	CSS Backgrounds and Borders Module Level 3
border-bottom-width	http://dev.w3.org/csswg/css3-background/#border-bottom-width	ED	CSS Backgrounds and Borders Module Level 3
border-bottom-width	http://www.w3.org/TR/2011/REC-CSS2-20110607/box.html#propdef-border-bottom-width	REC	CSS 2.1
border-bottom-width	http://www.w3.org/TR/2014/CR-css3-background-20140909/#border-bottom-width	CR	CSS Backgrounds and Borders Module Level 3
border-boundary	http://www.w3.org/TR/2016/WD-css-round-display-1-20160301/#propdef-border-boundary	WD	CSS Round Display Level 1
border-boundary	https://drafts.csswg.org/css-round-display/#propdef-border-boundary	ED	CSS Round Display Level 1
border-collapse	http://www.w3.org/TR/2011/REC-CSS2-20110607/tables.html#propdef-border-collapse	REC	CSS 2.1
border-color	http://dev.w3.org/csswg/css3-background/#border-color	ED	CSS Backgrounds and Borders Module Level 3
border-color	http://www.w3.org/TR/2011/REC-CSS2-20110607/box.html#propdef-border-color	REC	CSS 2.1
border-color	http://www.w3.org/TR/2014/CR-css3-background-20140909/#border-color	CR	CSS Backgrounds and Borders Module Level 3
border-image	http://dev.w3.org/csswg/css3-background/#border-image	ED	CSS Backgrounds and Borders Module Level 3
border-image	http://www.w3.org/TR/2014/CR-css3-background-20140909/#border-image	CR	CSS Backgrounds and Borders Module Level 3
border-image-outset	http://dev.w3.org/csswg/css3-background/#border-image-outset	ED	CSS Backgrounds and Borders Module Level 3
border-image-outset	http://www.w3.org/TR/2014/CR-css3-background-20140909/#border-image-outset	CR	CSS Backgrounds and Borders Module Level 3
border-image-repeat	http://dev.w3.org/csswg/css3-background/#border-image-repeat	ED	CSS Backgrounds and Borders Module Level 3
border-image-repeat	http://www.w3.org/TR/2014/CR-css3-background-20140909/#border-image-repeat	CR	CSS Backgrounds and Borders Module Level 3
border-image-slice	http://dev.w3.org/csswg/css3-background/#border-image-slice	ED	CSS Backgrounds and Borders Module Level 3
border-image-slice	http://www.w3.org/TR/2014/CR-css3-background-20140909/#border-image-slice	CR	CSS Backgrounds and Borders Module Level 3
border-image-source	http://dev.w3.org/csswg/css3-background/#border-image-source	ED	CSS Backgrounds and Borders Module Level 3
border-image-source	http://www.w3.org/TR/2014/CR-css3-background-20140909/#border-image-source	CR	CSS Backgrounds and Borders Module Level 3
border-image-width	http://dev.w3.org/csswg/css3-background/#border-image-width	ED	CSS Backgrounds and Borders Module Level 3
border-image-width	http://www.w3.org/TR/2014/CR-css3-background-20140909/#border-image-width	CR	CSS Backgrounds and Borders Module Level 3
border-left	http://dev.w3.org/csswg/css3-background/#border-left	ED	CSS Backgrounds and Borders Module Level 3
border-left	http://www.w3.org/TR/2011/REC-CSS2-20110607/box.html#propdef-border-left	REC	CSS 2.1
border-left	http://www.w3.org/TR/2014/CR-css3-background-20140909/#border-left	CR	CSS Backgrounds and Borders Module Level 3
border-left-color	http://dev.w3.org/csswg/css3-background/#border-left-color	ED	CSS Backgrounds and Borders Module Level 3
border-left-color	http://www.w3.org/TR/2011/REC-CSS2-20110607/box.html#propdef-border-left-color	REC	CSS 2.1
border-left-color	http://www.w3.org/TR/2014/CR-css3-background-20140909/#border-left-color	CR	CSS Backgrounds and Borders Module Level 3
border-left-style	http://dev.w3.org/csswg/css3-background/#border-left-style	ED	CSS Backgrounds and Borders Module Level 3
border-left-style	http://www.w3.org/TR/2011/REC-CSS2-20110607/box.html#propdef-border-left-style	REC	CSS 2.1
border-left-style	http://www.w3.org/TR/2014/CR-css3-background-20140909/#border-left-style	CR	CSS Backgrounds and Borders Module Level 3
border-left-width	http://dev.w3.org/csswg/css3-background/#border-left-width	ED	CSS Backgrounds and Borders Module Level 3
border-left-width	http://www.w3.org/TR/2011/REC-CSS2-20110607/box.html#propdef-border-left-width	REC	CSS 2.1
border-left-width	http://www.w3.org/TR/2014/CR-css3-background-20140909/#border-left-width	CR	CSS Backgrounds and Borders Module Level 3
border-radius	http://dev.w3.org/csswg/css3-background/#border-radius	ED	CSS Backgrounds and Borders Module Level 3
border-radius	http://www.w3.org/TR/2014/CR-css3-background-20140909/#border-radius	CR	CSS Backgrounds and Borders Module Level 3
border-right	http://dev.w3.org/csswg/css3-background/#border-right	ED	CSS Backgrounds and Borders Module Level 3
border-right	http://www.w3.org/TR/2011/REC-CSS2-20110607/box.html#propdef-border-right	REC	CSS 2.1
border-right	http://www.w3.org/TR/2014/CR-css3-background-20140909/#border-right	CR	CSS Backgrounds and Borders Module Level 3
border-right-color	http://dev.w3.org/csswg/css3-background/#border-right-color	ED	CSS Backgrounds and Borders Module Level 3
border-right-color	http://www.w3.org/TR/2011/REC-CSS2-20110607/box.html#propdef-border-right-color	REC	CSS 2.1
border-right-color	http://www.w3.org/TR/2014/CR-css3-background-20140909/#border-right-color	CR	CSS Backgrounds and Borders Module Level 3
border-right-style	http://dev.w3.org/csswg/css3-background/#border-right-style	ED	CSS Backgrounds and Borders Module Level 3
border-right-style	http://www.w3.org/TR/2011/REC-CSS2-20110607/box.html#propdef-border-right-style	REC	CSS 2.1
border-right-style	http://www.w3.org/TR/2014/CR-css3-background-20140909/#border-right-style	CR	CSS Backgrounds and Borders Module Level 3
border-right-width	http://dev.w3.org/csswg/css3-background/#border-right-width	ED	CSS Backgrounds and Borders Module Level 3
border-right-width	http://www.w3.org/TR/2011/REC-CSS2-20110607/box.html#propdef-border-right-width	REC	CSS 2.1
border-right-width	http://www.w3.org/TR/2014/CR-css3-background-20140909/#border-right-width	CR	CSS Backgrounds and Borders Module Level 3
border-spacing	http://www.w3.org/TR/2011/REC-CSS2-20110607/tables.html#propdef-border-spacing	REC	CSS 2.1
border-style	http://dev.w3.org/csswg/css3-background/#border-style	ED	CSS Backgrounds and Borders Module Level 3
border-style	http://www.w3.org/TR/2011/REC-CSS2-20110607/box.html#propdef-border-style	REC	CSS 2.1
border-style	http://www.w3.org/TR/2014/CR-css3-background-20140909/#border-style	CR	CSS Backgrounds and Borders Module Level 3
border-top	http://dev.w3.org/csswg/css3-background/#border-top	ED	CSS Backgrounds and Borders Module Level 3
border-top	http://www.w3.org/TR/2011/REC-CSS2-20110607/box.html#propdef-border-top	REC	CSS 2.1
border-top	http://www.w3.org/TR/2014/CR-css3-background-20140909/#border-top	CR	CSS Backgrounds and Borders Module Level 3
border-top-color	http://dev.w3.org/csswg/css3-background/#border-top-color	ED	CSS Backgrounds and Borders Module Level 3
border-top-color	http://www.w3.org/TR/2011/REC-CSS2-20110607/box.html#propdef-border-top-color	REC	CSS 2.1
border-top-color	http://www.w3.org/TR/2014/CR-css3-background-20140909/#border-top-color	CR	CSS Backgrounds and Borders Module Level 3
border-top-left-radius	http://dev.w3.org/csswg/css3-background/#border-top-left-radius	ED	CSS Backgrounds and Borders Module Level 3
border-top-left-radius	http://www.w3.org/TR/2014/CR-css3-background-20140909/#border-top-left-radius	CR	CSS Backgrounds and Borders Module Level 3
border-top-right-radius	http://dev.w3.org/csswg/css3-background/#border-top-right-radius	ED	CSS Backgrounds and Borders Module Level 3
border-top-right-radius	http://www.w3.org/TR/2014/CR-css3-background-20140909/#border-top-right-radius	CR	CSS Backgrounds and Borders Module Level 3
border-top-style	http://dev.w3.org/csswg/css3-background/#border-top-style	ED	CSS Backgrounds and Borders Module Level 3
border-top-style	http://www.w3.org/TR/2011/REC-CSS2-20110607/box.html#propdef-border-top-style	REC	CSS 2.1
border-top-style	http://www.w3.org/TR/2014/CR-css3-background-20140909/#border-top-style	CR	CSS Backgrounds and Borders Module Level 3
border-top-width	http://dev.w3.org/csswg/css3-background/#border-top-width	ED	CSS Backgrounds and Borders Module Level 3
border-top-width	http://www.w3.org/TR/2011/REC-CSS2-20110607/box.html#propdef-border-top-width	REC	CSS 2.1
border-top-width	http://www.w3.org/TR/2014/CR-css3-background-20140909/#border-top-width	CR	CSS Backgrounds and Borders Module Level 3
border-width	http://dev.w3.org/csswg/css3-background/#border-width	ED	CSS Backgrounds and Borders Module Level 3
border-width	http://www.w3.org/TR/2011/REC-CSS2-20110607/box.html#propdef-border-width	REC	CSS 2.1
border-width	http://www.w3.org/TR/2014/CR-css3-background-20140909/#border-width	CR	CSS Backgrounds and Borders Module Level 3
bottom	http://dev.w3.org/csswg/css-position/#propdef-bottom	ED	CSS Positioned Layout Module Level 3
bottom	http://www.w3.org/TR/2011/REC-CSS2-20110607/visuren.html#propdef-bottom	REC	CSS 2.1
bottom	http://www.w3.org/TR/2015/WD-css3-positioning-20150203/#propdef-bottom	WD	CSS Positioned Layout Module Level 3
box-decoration-break	http://dev.w3.org/csswg/css-break/#propdef-box-decoration-break	ED	CSS Fragmentation Module Level 3
box-decoration-break	http://www.w3.org/TR/2016/CR-css-break-3-20160114/#propdef-box-decoration-break	CR	CSS Fragmentation Module Level 3
box-shadow	http://dev.w3.org/csswg/css3-background/#box-shadow	ED	CSS Backgrounds and Borders Module Level 3
box-shadow	http://www.w3.org/TR/2014/CR-css3-background-20140909/#box-shadow	CR	CSS Backgrounds and Borders Module Level 3
box-sizing	http://dev.w3.org/csswg/css-ui/#propdef-box-sizing	ED	CSS Basic User Interface Module Level 3 (CSS3 UI)
box-sizing	http://www.w3.org/TR/2015/CR-css-ui-3-20150707/#propdef-box-sizing	CR	CSS Basic User Interface Module Level 3 (CSS3 UI)
box-snap	http://dev.w3.org/csswg/css-line-grid/#propdef-box-snap	ED	CSS Line Grid Module Level 1
box-snap	http://www.w3.org/TR/2014/WD-css-line-grid-1-20140916/#propdef-box-snap	WD	CSS Line Grid Module Level 1
box-suppress	http://dev.w3.org/csswg/css-display/#propdef-box-suppress	ED	CSS Display Module Level 3
box-suppress	http://www.w3.org/TR/2015/WD-css-display-3-20151015/#propdef-box-suppress	WD	CSS Display Module Level 3
break-after	http://dev.w3.org/csswg/css-break/#propdef-break-after	ED	CSS Fragmentation Module Level 3
break-after	http://dev.w3.org/csswg/css-regions/#propdef-break-after	ED	CSS Regions Module Level 1
break-after	http://www.w3.org/TR/2011/CR-css3-multicol-20110412#break-after	CR	CSS Multi-column Layout Module
break-after	http://www.w3.org/TR/2014/WD-css-regions-1-20141009/#propdef-break-after	WD	CSS Regions Module Level 1
break-after	http://www.w3.org/TR/2016/CR-css-break-3-20160114/#propdef-break-after	CR	CSS Fragmentation Module Level 3
break-before	http://dev.w3.org/csswg/css-break/#propdef-break-before	ED	CSS Fragmentation Module Level 3
break-before	http://dev.w3.org/csswg/css-regions/#propdef-break-before	ED	CSS Regions Module Level 1
break-before	http://www.w3.org/TR/2011/CR-css3-multicol-20110412#break-before	CR	CSS Multi-column Layout Module
break-before	http://www.w3.org/TR/2014/WD-css-regions-1-20141009/#propdef-break-before	WD	CSS Regions Module Level 1
break-before	http://www.w3.org/TR/2016/CR-css-break-3-20160114/#propdef-break-before	CR	CSS Fragmentation Module Level 3
break-inside	http://dev.w3.org/csswg/css-break/#propdef-break-inside	ED	CSS Fragmentation Module Level 3
break-inside	http://dev.w3.org/csswg/css-regions/#propdef-break-inside	ED	CSS Regions Module Level 1
break-inside	http://www.w3.org/TR/2011/CR-css3-multicol-20110412#break-inside	CR	CSS Multi-column Layout Module
break-inside	http://www.w3.org/TR/2014/WD-css-regions-1-20141009/#propdef-break-inside	WD	CSS Regions Module Level 1
break-inside	http://www.w3.org/TR/2016/CR-css-break-3-20160114/#propdef-break-inside	CR	CSS Fragmentation Module Level 3
caption-side	http://www.w3.org/TR/2011/REC-CSS2-20110607/tables.html#propdef-caption-side	REC	CSS 2.1
caret	http://dev.w3.org/csswg/css-ui-4/#propdef-caret	ED	CSS Basic User Interface Module Level 4
caret	http://www.w3.org/TR/2015/WD-css-ui-4-20150922/#propdef-caret	FPWD	CSS Basic User Interface Module Level 4
caret-animation	http://www.w3.org/TR/2015/WD-css-ui-4-20150922/#propdef-caret-animation	FPWD	CSS Basic User Interface Module Level 4
caret-color	http://dev.w3.org/csswg/css-ui/#propdef-caret-color	ED	CSS Basic User Interface Module Level 3 (CSS3 UI)
caret-color	http://www.w3.org/TR/2015/CR-css-ui-3-20150707/#propdef-caret-color	CR	CSS Basic User Interface Module Level 3 (CSS3 UI)
caret-shape	http://dev.w3.org/csswg/css-ui-4/#propdef-caret-shape	ED	CSS Basic User Interface Module Level 4
caret-shape	http://www.w3.org/TR/2015/WD-css-ui-4-20150922/#propdef-caret-shape	FPWD	CSS Basic User Interface Module Level 4
chains	http://dev.w3.org/csswg/css-template/#chains0	ED	CSS Template Layout Module
chains	http://www.w3.org/TR/2015/NOTE-css-template-3-20150326/#chains0	NOTE	CSS Template Layout Module
clear	http://dev.w3.org/csswg/css-page-floats/#propdef-clear	ED	CSS Page Floats
clear	http://www.w3.org/TR/2007/WD-css3-box-20070809#clear	WD	CSS basic box model
clear	http://www.w3.org/TR/2011/REC-CSS2-20110607/visuren.html#propdef-clear	REC	CSS 2.1
clear	http://www.w3.org/TR/2015/WD-css-page-floats-3-20150915/#propdef-clear	FPWD	CSS Page Floats
clip	http://dev.w3.org/fxtf/css-masking-1/#propdef-clip	ED	CSS Masking Module Level 1
clip	http://www.w3.org/TR/2011/REC-CSS2-20110607/visufx.html#propdef-clip	REC	CSS 2.1
clip	http://www.w3.org/TR/2014/CR-css-masking-1-20140826/#propdef-clip	CR	CSS Masking Module Level 1
clip-path	http://dev.w3.org/fxtf/css-masking-1/#propdef-clip-path	ED	CSS Masking Module Level 1
clip-path	http://www.w3.org/TR/2014/CR-css-masking-1-20140826/#propdef-clip-path	CR	CSS Masking Module Level 1
clip-rule	http://dev.w3.org/fxtf/css-masking-1/#propdef-clip-rule	ED	CSS Masking Module Level 1
clip-rule	http://www.w3.org/TR/2014/CR-css-masking-1-20140826/#propdef-clip-rule	CR	CSS Masking Module Level 1
color	http://www.w3.org/TR/2011/REC-CSS2-20110607/colors.html#propdef-color	REC	CSS 2.1
color	http://www.w3.org/TR/2011/REC-css3-color-20110607#color0	REC	CSS Color Module Level 3
color-interpolation-filters	http://dev.w3.org/fxtf/filters/#propdef-color-interpolation-filters	ED	Filter Effects Module Level 1
color-interpolation-filters	http://www.w3.org/TR/2014/WD-filter-effects-1-20141125/#propdef-color-interpolation-filters	WD	Filter Effects Module Level 1
column-count	http://www.w3.org/TR/2011/CR-css3-multicol-20110412#column-count	CR	CSS Multi-column Layout Module
column-fill	http://www.w3.org/TR/2011/CR-css3-multicol-20110412#column-fill	CR	CSS Multi-column Layout Module
column-gap	http://www.w3.org/TR/2011/CR-css3-multicol-20110412#column-gap0	CR	CSS Multi-column Layout Module
column-rule	http://www.w3.org/TR/2011/CR-css3-multicol-20110412#column-rule0	CR	CSS Multi-column Layout Module
column-rule-color	http://www.w3.org/TR/2011/CR-css3-multicol-20110412#column-rule-color	CR	CSS Multi-column Layout Module
column-rule-style	http://www.w3.org/TR/2011/CR-css3-multicol-20110412#column-rule-style	CR	CSS Multi-column Layout Module
column-rule-width	http://www.w3.org/TR/2011/CR-css3-multicol-20110412#column-rule-width	CR	CSS Multi-column Layout Module
column-span	http://www.w3.org/TR/2011/CR-css3-multicol-20110412#column-span0	CR	CSS Multi-column Layout Module
column-width	http://www.w3.org/TR/2011/CR-css3-multicol-20110412#column-width	CR	CSS Multi-column Layout Module
columns	http://www.w3.org/TR/2011/CR-css3-multicol-20110412#columns0	CR	CSS Multi-column Layout Module
content	http://www.w3.org/TR/2003/WD-css3-content-20030514#content	WD	CSS3 Generated and Replaced Content Module
content	http://www.w3.org/TR/2011/REC-CSS2-20110607/generate.html#propdef-content	REC	CSS 2.1
counter-increment	http://dev.w3.org/csswg/css3-lists/#propdef-counter-increment	ED	CSS Lists and Counters Module Level 3
counter-increment	http://www.w3.org/TR/2003/WD-css3-content-20030514#counter-increment	WD	CSS3 Generated and Replaced Content Module
counter-increment	http://www.w3.org/TR/2011/REC-CSS2-20110607/generate.html#propdef-counter-increment	REC	CSS 2.1
counter-increment	http://www.w3.org/TR/2014/WD-css-lists-3-20140320/#propdef-counter-increment	WD	CSS Lists and Counters Module Level 3
counter-reset	http://dev.w3.org/csswg/css3-lists/#propdef-counter-reset	ED	CSS Lists and Counters Module Level 3
counter-reset	http://www.w3.org/TR/2003/WD-css3-content-20030514#counter-reset	WD	CSS3 Generated and Replaced Content Module
counter-reset	http://www.w3.org/TR/2011/REC-CSS2-20110607/generate.html#propdef-counter-reset	REC	CSS 2.1
counter-reset	http://www.w3.org/TR/2014/WD-css-lists-3-20140320/#propdef-counter-reset	WD	CSS Lists and Counters Module Level 3
counter-set	http://dev.w3.org/csswg/css3-lists/#propdef-counter-set	ED	CSS Lists and Counters Module Level 3
counter-set	http://www.w3.org/TR/2014/WD-css-lists-3-20140320/#propdef-counter-set	WD	CSS Lists and Counters Module Level 3
crop	http://www.w3.org/TR/2003/WD-css3-content-20030514#crop	WD	CSS3 Generated and Replaced Content Module
cue	http://www.w3.org/TR/2011/REC-CSS2-20110607/aural.html#propdef-cue	REC	CSS 2.1
cue	http://www.w3.org/TR/2012/CR-css3-speech-20120320/#cue	CR	CSS Speech Module
cue-after	http://www.w3.org/TR/2011/REC-CSS2-20110607/aural.html#propdef-cue-after	REC	CSS 2.1
cue-after	http://www.w3.org/TR/2012/CR-css3-speech-20120320/#cue-after	CR	CSS Speech Module
cue-before	http://www.w3.org/TR/2011/REC-CSS2-20110607/aural.html#propdef-cue-before	REC	CSS 2.1
cue-before	http://www.w3.org/TR/2012/CR-css3-speech-20120320/#cue-before	CR	CSS Speech Module
cursor	http://dev.w3.org/csswg/css-ui/#propdef-cursor	ED	CSS Basic User Interface Module Level 3 (CSS3 UI)
cursor	http://www.w3.org/TR/2011/REC-CSS2-20110607/ui.html#propdef-cursor	REC	CSS 2.1
cursor	http://www.w3.org/TR/2015/CR-css-ui-3-20150707/#propdef-cursor	CR	CSS Basic User Interface Module Level 3 (CSS3 UI)
direction	http://dev.w3.org/csswg/css-writing-modes-3/#propdef-direction	ED	CSS Writing Modes Level 3
direction	http://www.w3.org/TR/2011/REC-CSS2-20110607/visuren.html#propdef-direction	REC	CSS 2.1
direction	http://www.w3.org/TR/2015/CR-css-writing-modes-3-20151215/#propdef-direction	CR	CSS Writing Modes Level 3
display	http://dev.w3.org/csswg/css-display/#propdef-display	ED	CSS Display Module Level 3
display	http://dev.w3.org/csswg/css-ruby-1/#propdef-display	ED	CSS Ruby Layout Module Level 1
display	http://www.w3.org/TR/2003/WD-css3-content-20030514#display	WD	CSS3 Generated and Replaced Content Module
display	http://www.w3.org/TR/2007/WD-css3-box-20070809#display	WD	CSS basic box model
